kernel,height,width,sw_time,hw_total_time,hw_time,pack_time,unpack_time,speedup
Sobel X,512,512,56.52635622024536,0.022308826446533203,0.009163379669189453,0.005887031555175781,0.005707740783691406,2533.8112856684834
Sobel Y,512,512,56.55864477157593,0.022376537322998047,0.009068012237548828,0.006015300750732422,0.005662441253662109,2527.5869968248558
Gaussian,512,512,57.37902593612671,0.022287845611572266,0.009097576141357422,0.005976200103759766,0.005650997161865234,2574.453670225284
